county_fips,county_name,population,median_age,median_household_income,median_home_value,median_gross_rent,poverty_pct,unemployment_pct,vacancy_pct,homeownership_pct,bachelors_plus_pct,declarations,precipitation_inches,temperature_f,inflow_individuals_per_1000,outflow_individuals_per_1000,net_individuals_per_1000,education_band
01001,"Autauga County, Alabama",59285.0,39.2,69841.0,197900.0,1200.0,10.684306413989205,2.541558921315109,8.92806599005297,74.91009190605159,28.28267961831874,1.0,49.81,66.29166666666667,73.29003963903179,63.40558319979759,9.884456439234208,20 to <30%
01003,"Baldwin County, Alabama",239945.0,43.7,75019.0,287000.0,1211.0,10.514698717595673,3.194281220454003,26.358953609611106,77.53534371632045,32.79763704444496,0.0,49.37,69.88333333333334,58.97601533684803,39.50488653649795,19.47112880035008,30 to <40%
01005,"Barbour County, Alabama",24757.0,40.7,44290.0,109900.0,644.0,21.92147806004619,5.708618029534935,22.40642625192275,67.48898678414096,11.464715225777173,1.0,49.11,66.69166666666666,27.063052873934645,37.64591832612998,-10.582865452195339,Under 20%
01007,"Bibb County, Alabama",22152.0,41.3,51215.0,132600.0,802.0,20.51158533648056,9.984,16.71067106710671,77.17606656980584,11.468206641139917,0.0,46.88,64.66666666666667,37.78439869989166,34.75984109786927,3.0245576020223908,Under 20%
01009,"Blount County, Alabama",59292.0,40.9,61096.0,169700.0,743.0,14.095286797920396,5.835172921265636,11.358044609365546,79.50584702188652,15.57902954307043,0.0,53.83,63.208333333333336,42.19793564055859,39.7355461107738,2.4623895297847938,Under 20%
01011,"Bullock County, Alabama",10157.0,40.4,36723.0,79400.0,635.0,25.651127161304444,5.873180873180873,24.176548089591567,63.509991311902695,8.999728923827595,0.0,52.96,66.02499999999999,27.76410357388993,34.85281086935119,-7.088707295461258,Under 20%
01013,"Butler County, Alabama",18807.0,42.2,44881.0,99700.0,722.0,21.01586613960037,6.790431098928482,26.206686312366628,68.41090608647755,13.764813126709207,0.0,50.28,66.875,27.22390599244962,36.31626522039666,-9.09235922794704,Under 20%
01015,"Calhoun County, Alabama",116141.0,39.0,55826.0,149500.0,804.0,17.462188175211157,6.438023017559986,15.291622083309868,70.38670360110804,20.54510537092856,0.0,49.489999999999995,63.541666666666664,38.42742872887266,36.48151815465684,1.9459105742158238,20 to <30%
01017,"Chambers County, Alabama",34450.0,41.5,49295.0,129700.0,850.0,15.480078380143697,4.961757207295548,18.311316734644183,70.98889634100902,14.585035124979578,2.0,54.77,63.425000000000004,43.77358490566038,46.763425253991294,-2.9898403483309144,Under 20%
01019,"Cherokee County, Alabama",25224.0,47.4,50769.0,165900.0,750.0,14.52333964315921,3.4393009853132552,28.5480461024347,79.45022430084948,15.945039143633169,0.0,49.75,62.74166666666667,53.6790358388836,39.8430066603235,13.836029178560102,Under 20%
01021,"Chilton County, Alabama",45500.0,39.5,61873.0,142300.0,855.0,13.614793360810962,5.3953768239482525,10.90244645213684,76.83149139797197,15.24701596903763,0.0,49.839999999999996,64.83333333333333,42.57142857142857,33.16483516483517,9.406593406593407,Under 20%
01023,"Choctaw County, Alabama",12525.0,47.0,44483.0,111800.0,653.0,19.53055443140429,5.50249169435216,27.77777777777778,82.21878623888674,13.914203156256946,0.0,54.29,67.375,22.035928143712574,29.780439121756487,-7.7445109780439125,Under 20%
01025,"Clarke County, Alabama",22802.0,42.5,49167.0,126400.0,785.0,20.543119593329173,13.159031979256698,27.927006054404366,70.91812588736394,15.426531379180759,0.0,58.61,67.35,28.725550390316638,35.961757740549075,-7.236207350232435,Under 20%
01027,"Clay County, Alabama",14188.0,43.8,51852.0,144700.0,624.0,16.5465032444124,3.482411171999293,18.48133484162896,77.69297484822204,15.235403060727167,0.0,58.32,62.958333333333336,39.89286721172822,36.721172822103185,3.1716943896250354,Under 20%
01029,"Cleburne County, Alabama",15254.0,42.3,53319.0,144200.0,792.0,13.154754011404323,1.5453639082751744,14.650518021304539,80.04787143101385,18.211951017401713,0.0,49.96,62.708333333333336,51.52746820506097,41.43175560508719,10.095712599973778,Under 20%
01031,"Coffee County, Alabama",54231.0,38.8,64672.0,180300.0,970.0,17.618860363649983,4.346691032502284,14.504692815279315,69.23298178331736,21.528831562974204,0.0,52.53,67.425,76.137264664122,68.37417713116115,7.763087532960853,20 to <30%
01033,"Colbert County, Alabama",57648.0,42.3,56736.0,161600.0,838.0,16.876468319366037,3.278323753013165,13.16025388173701,70.80150307635132,20.271853189516325,1.0,46.41,62.65,51.10324729392173,42.395226200388564,8.708021093533167,20 to <30%
01035,"Conecuh County, Alabama",11411.0,46.3,42266.0,101300.0,781.0,27.63530244074991,8.26792255363684,29.73308504034761,74.93374558303887,13.129075919773594,1.0,43.32,67.48333333333333,35.05389536412234,39.961440715099464,-4.907545350977127,Under 20%
01037,"Coosa County, Alabama",10323.0,50.3,57063.0,111800.0,682.0,11.626276787502503,5.054678007290401,30.470043032108574,81.31397286360391,14.8708254568368,2.0,55.55,64.28333333333333,55.700862152475054,45.72314249733605,9.97771965513901,Under 20%
01039,"Covington County, Alabama",37647.0,42.8,50886.0,142500.0,736.0,18.04310251701415,4.564105801401427,22.387020775326622,75.71576405657123,17.177519936505536,0.0,47.75,67.76666666666667,38.38287247323824,33.920365500571094,4.4625069726671445,Under 20%
01041,"Crenshaw County, Alabama",13144.0,42.4,49040.0,108400.0,664.0,16.190772582276512,4.866850321395776,22.660774154221276,74.20689655172414,16.805799648506152,0.0,55.06,66.55,48.691418137553256,41.692026780279974,6.99939135727328,Under 20%
